1,UZ650I03NMI32G,37,seguro limitado
2,06C1RX74BX77Q9,30,seguro de responsabilidad civil
3,SNVLA5J00KLXIM,9,seguro amplio
4,SNVLA5J00KLXIM,87,seguro amplio
5,VN17J305IZRO1N,88,seguro amplio
6,VN17J305IZRO1N,29,seguro amplio
7,UZ650I03NMI32G,66,seguro amplio
8,SNVLA5J00KLXIM,52,seguro de responsabilidad civil
9,J3HD3S2B4H394R,72,seguro amplio
10,2EPDJJ9D1Z50WL,20,seguro amplio
11,SNVLA5J00KLXIM,78,seguro de responsabilidad civil
12,UZ650I03NMI32G,69,seguro limitado
13,E858BZ155I266G,95,seguro amplio
14,SNVLA5J00KLXIM,32,seguro amplio
15,2EPDJJ9D1Z50WL,75,seguro amplio
16,57E50RCM8SZ47I,13,seguro limitado
17,UZ650I03NMI32G,75,seguro de responsabilidad civil
18,VN17J305IZRO1N,100,seguro limitado
19,G54Q5ZPK8714BN,60,seguro amplio
20,VN17J305IZRO1N,92,seguro de responsabilidad civil
21,2EPDJJ9D1Z50WL,27,seguro limitado
22,J3HD3S2B4H394R,71,seguro limitado
23,2EPDJJ9D1Z50WL,80,seguro limitado
24,VN17J305IZRO1N,67,seguro amplio
25,0X0GU7QEP5OYKM,61,seguro de responsabilidad civil
26,VN17J305IZRO1N,45,seguro amplio
27,J3HD3S2B4H394R,92,seguro limitado
28,UZ650I03NMI32G,2,seguro amplio
29,J3HD3S2B4H394R,58,seguro limitado
30,2EPDJJ9D1Z50WL,88,seguro limitado
