1,FJ Cruiser,Toyota,2011,8,4,S,automatico,2,hibrido,37
2,Grand Cherokee,Jeep,2010,12,2,S,automatico,4,gasolina,32
3,S10,Chevrolet,2012,12,4,N,automatico,4,hibrido,31
4,HED-5,Hyundai,2015,6,4,N,automatico,3,gasolina,37
5,Leone,Subaru,2013,12,2,S,automatico,4,hibrido,36
6,GS,Lexus,2018,12,4,N,estandar,4,hibrido,31
7,FX,Infiniti,2013,12,4,N,automatico,4,gasolina,32
8,MR2,Toyota,2013,12,2,S,estandar,2,hibrido,31
9,Crown Victoria,Ford,2010,12,2,S,automatico,4,gasolina,34
10,B-Series Plus,Mazda,2016,12,2,S,automatico,2,hibrido,37
11,RX,Lexus,2014,12,4,S,estandar,3,hibrido,32
12,EV1,GMC,2015,4,4,S,automatico,3,gasolina,39
13,Grand Marquis,Mercury,2010,8,4,S,automatico,4,gasolina,34
14,GTI,Volkswagen,2016,12,2,N,estandar,3,hibrido,36
15,I,Infiniti,2012,4,2,S,automatico,4,gasolina,35
16,G5,Pontiac,2011,6,2,N,estandar,3,gasolina,38
17,Montana,Pontiac,2014,4,4,N,estandar,3,gasolina,34
18,Pajero,Mitsubishi,2014,12,4,S,estandar,2,hibrido,34
19,Caprice,Chevrolet,2017,12,2,S,estandar,2,hibrido,30
20,Compass,Jeep,2015,12,4,S,estandar,3,hibrido,30
21,SJ,Suzuki,2015,12,4,S,automatico,3,hibrido,37
22,5 Series,BMW,2015,12,4,S,automatico,2,hibrido,39
23,Camry Hybrid,Toyota,2016,4,4,S,automatico,3,gasolina,37
24,rio,Volkswagen,2010,12,4,N,automatico,2,hibrido,33
25,Silverado 2500,Chevrolet,2017,8,4,S,automatico,2,gasolina,35
26,T100,Toyota,2011,8,2,N,estandar,3,hibrido,36
27,Sonoma,GMC,2016,8,2,N,automatico,2,gasolina,35
28,F450,Ford,2014,12,4,S,estandar,3,gasolina,30
29,Navigator,Lincoln,2013,6,4,S,automatico,3,hibrido,33
30,Rodeo,Isuzu,2017,12,2,N,automatico,3,hibrido,36
31,S40,Volvo,2010,12,2,N,automatico,4,gasolina,37
32,370Z,Nissan,2013,12,4,N,automatico,4,hibrido,37
33,E-Series,Ford,2016,12,4,N,estandar,2,hibrido,32
34,Riviera,Buick,2018,12,4,N,automatico,2,hibrido,40
35,Avalanche,Chevrolet,2010,6,2,N,automatico,3,hibrido,38
36,A8,Audi,2017,12,2,N,automatico,3,gasolina,39
37,Colorado,Chevrolet,2016,12,4,S,automatico,2,gasolina,32
38,F250,Ford,2012,12,2,N,estandar,4,hibrido,32
39,Laser,Ford,2017,8,2,N,automatico,3,gasolina,32
40,Corvette,Chevrolet,2016,12,4,S,automatico,2,gasolina,32
41,Precis,Mitsubishi,2011,12,4,S,estandar,4,gasolina,35
42,Grand Prix,Pontiac,2018,12,4,S,automatico,2,gasolina,31
43,V50,Volvo,2010,6,2,N,automatico,3,hibrido,30
44,Sonata,Hyundai,2010,8,2,N,automatico,4,gasolina,37
45,Sidekick,Suzuki,2011,12,2,S,estandar,4,gasolina,32
46,S4,Audi,2010,4,4,S,estandar,3,hibrido,38
47,S-Series,Saturn,2010,8,2,N,automatico,2,hibrido,34
48,Yukon XL 1500,GMC,2015,12,4,N,automatico,2,gasolina,36
49,Grand Am,Pontiac,2017,12,2,N,automatico,2,hibrido,40
50,Econoline E250,Ford,2017,12,2,N,automatico,2,hibrido,33
51,Caprice Classic,Chevrolet,2015,6,2,N,estandar,4,gasolina,36
52,Axiom,Isuzu,2018,12,2,N,automatico,2,hibrido,36
53,F-Series,Ford,2017,12,4,S,estandar,4,hibrido,31
54,Gallardo,Lamborghini,2013,8,2,S,estandar,2,gasolina,39
55,Santa Fe,Hyundai,2012,4,4,S,estandar,4,gasolina,33
56,Pilot,Honda,2018,12,2,S,automatico,2,gasolina,37
57,6 Series,BMW,2012,6,2,S,estandar,2,hibrido,36
58,745,BMW,2016,8,2,S,estandar,2,hibrido,30
59,Avanti,Studebaker,2017,8,2,N,automatico,2,gasolina,36
60,Cavalier,Chevrolet,2012,12,4,S,estandar,3,gasolina,31
61,Ram 2500,Dodge,2011,12,2,S,automatico,2,gasolina,35
62,Protege,Mazda,2010,12,4,N,estandar,3,gasolina,34
63,Durango,Dodge,2018,12,4,S,automatico,3,gasolina,38
64,Savana,GMC,2010,12,2,S,estandar,2,gasolina,30
65,CTS,Cadillac,2014,12,2,N,automatico,4,hibrido,40
66,Milan,Mercury,2018,8,4,S,automatico,3,gasolina,36
67,Nubira,Daewoo,2017,6,2,S,estandar,2,hibrido,35
68,M3,BMW,2014,12,4,S,estandar,3,hibrido,32
69,X-90,Suzuki,2017,8,4,N,automatico,2,gasolina,33
70,LS,Lincoln,2011,12,4,N,estandar,4,gasolina,36
71,Sienna,Toyota,2018,12,4,N,automatico,3,gasolina,32
72,Passat,Volkswagen,2014,8,4,N,estandar,2,gasolina,35
73,Crown Victoria,Ford,2011,8,4,N,automatico,2,hibrido,37
74,Range Rover,Land Rover,2018,4,4,N,automatico,2,gasolina,40
75,CL-Class,Mercedes-Benz,2010,12,2,S,automatico,4,hibrido,40
76,Coachbuilder,Buick,2017,4,2,S,estandar,3,gasolina,33
77,Ranger,Ford,2011,12,4,S,estandar,3,hibrido,34
78,Vibe,Pontiac,2015,4,2,N,estandar,4,gasolina,34
79,Yukon,GMC,2014,8,2,S,automatico,2,gasolina,36
80,TundraMax,Toyota,2017,12,2,S,estandar,2,hibrido,39
81,GTO,Mitsubishi,2018,6,4,S,estandar,2,gasolina,33
82,Malibu,Chevrolet,2012,12,2,N,estandar,3,gasolina,38
83,Legacy,Subaru,2016,8,2,N,automatico,4,gasolina,38
84,CLK-Class,Mercedes-Benz,2018,6,4,N,automatico,4,gasolina,31
85,Spectra,Kia,2016,12,4,N,estandar,4,gasolina,34
86,Suburban 1500,Chevrolet,2017,6,4,S,estandar,3,gasolina,32
87,Avalon,Toyota,2012,8,2,S,automatico,3,gasolina,40
88,Venza,Toyota,2017,8,2,N,automatico,4,gasolina,31
89,Avalon,Toyota,2011,8,4,N,estandar,4,gasolina,39
90,Achieva,Oldsmobile,2016,8,2,N,estandar,2,gasolina,31
91,S80,Volvo,2010,12,2,N,automatico,3,hibrido,32
92,Neon,Dodge,2011,12,4,S,estandar,3,gasolina,40
93,Scirocco,Volkswagen,2015,12,4,N,automatico,2,gasolina,34
94,Windstar,Ford,2018,12,4,S,estandar,3,hibrido,30
95,Eldorado,Cadillac,2010,12,4,S,estandar,2,gasolina,35
96,SC,Lexus,2013,12,4,S,estandar,4,hibrido,40
97,Ram Van 2500,Dodge,2014,12,4,N,automatico,3,hibrido,32
98,Shadow,Dodge,2017,12,4,N,automatico,2,gasolina,30
99,Stratus,Dodge,2010,12,4,S,automatico,3,hibrido,32
100,Escalade,Cadillac,2018,12,2,S,automatico,3,gasolina,38
