1,229,llevado a deposito de vehiculos
2,413,robado
3,363,llantas ponchadas
4,312,llevado a deposito de vehiculos
5,333,motor descompuesto
6,417,placas vencidas
7,333,llevado a deposito de vehiculos
8,444,frenos inservibles
9,342,motor descompuesto
10,271,motor descompuesto
11,211,motor descompuesto
12,434,vidrios rotos
13,393,llantas ponchadas
14,444,vidrios rotos
15,378,motor descompuesto
16,329,llantas ponchadas
17,425,llevado a deposito de vehiculos
18,439,llantas ponchadas
19,261,llevado a deposito de vehiculos
20,405,robado
21,352,vidrios rotos
22,384,motor descompuesto
23,350,llevado a deposito de vehiculos
24,291,llantas ponchadas
25,336,frenos inservibles
